 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.149138048       2.14125848       15.0717001       2.93899989       155.722076       189.524536    
  0.151112020       2.16960001       15.1716995       2.93899989       151.687225       184.133804    
  0.153098792       2.19812512       15.2716999       2.93899989       147.763565       178.918228    
  0.155098274       2.22683287       15.3717003       2.93899989       143.946869       173.853867    
  0.157110438       2.25572276       15.4716997       2.93899989       140.233597       168.932983    
  0.159135431       2.28479648       15.5717001       2.93899989       136.620453       164.169952    
  0.161173105       2.31405258       15.6716995       2.93899989       133.103867       159.553665    
  0.163223490       2.34349108       15.7716999       2.93899989       129.680374       155.067230    
  0.165286601       2.37311244       15.8717003       2.93899989       126.347473       150.717468    
  0.167362362       2.40291524       15.9716997       2.93899989       123.102089       146.495010    
  0.169450849       2.43290091       16.0716991       2.93899989       119.941010       142.397446    
  0.171552077       2.46306920       16.1716995       2.93899989       116.862175       138.419220    
  0.173665926       2.49341893       16.2716999       2.93899989       113.862938       134.559113    
  0.175792485       2.52395129       16.3717003       2.93899989       110.940331       130.807434    
  0.177931711       2.55466533       16.4717007       2.93899989       108.092789       127.207413    
  0.180083588       2.58556104       16.5716991       2.93899989       105.317955       123.667900    
  0.182248116       2.61663842       16.6716995       2.93899989       102.613083       120.185234    
  0.184425309       2.64789748       16.7716999       2.93899989       99.9768906       116.843964    
  0.186615109       2.67933774       16.8717003       2.93899989       97.4072800       113.596748    
  0.188817665       2.71096110       16.9717007       2.93899989       94.9018326       110.441399    
  0.191032723       2.74276376       17.0716991       2.93899989       92.4595337       107.375175    
  0.193260476       2.77474904       17.1716995       2.93899989       90.0782928       104.394493    
  0.195500821       2.80691481       17.2716999       2.93899989       87.7561417       101.511292    
  0.197753802       2.83926201       17.3717003       2.93899989       85.4921036       98.6801529    
  0.200019404       2.87179065       17.4717007       2.93899989       83.2877655       95.9439621    
  0.202297509       2.90449882       17.5716991       2.93899989       81.1387329       93.2837830    
  0.204588294       2.93738866       17.6716995       2.93899989       79.0434723       90.6974869    
  0.206891611       2.97045875       17.7716999       2.93899989       77.0003128       88.1825409    
  0.209207535       3.00370979       17.8717003       2.93899989       75.0080109       85.7497711    
  0.211536050       3.03714156       17.9717007       2.93899989       73.0654678       83.3696060    
  0.213877067       3.07075286       18.0716991       2.93899989       71.1710739       81.0548248    
  0.216230661       3.10454488       18.1716995       2.93899989       69.3238297       78.8037872    
  0.218596816       3.13851714       18.2716999       2.93899989       67.5227356       76.6146317    
  0.220975548       3.17266989       18.3717003       2.93899989       65.7660828       74.4854889    
  0.223366752       3.20700169       18.4717007       2.93899989       64.0533218       72.4144211    
  0.225770459       3.24151301       18.5716991       2.93899989       62.3832817       70.4005356    
  0.228186771       3.27620530       18.6716995       2.93899989       60.7545738       68.4417038    
  0.230615586       3.31107712       18.7716999       2.93899989       59.1666527       66.5364456    
  0.233056903       3.34612846       18.8717003       2.93899989       57.6181755       64.6832275    
  0.235510647       3.38135815       18.9717007       2.93899989       56.1083031       62.8790779    
  0.237976894       3.41676760       19.0716991       2.93899989       54.6363487       61.1258430    
  0.240455687       3.45235705       19.1716995       2.93899989       53.2008362       59.4198685    
  0.242946878       3.48812461       19.2716999       2.93899989       51.8013916       57.7605247    
  0.245450586       3.52407169       19.3717003       2.93899989       50.4370232       56.1466293    
  0.247966766       3.56019783       19.4717007       2.93899989       49.1066475       54.5755310    
  0.250495344       3.59650207       19.5716991       2.93899989       47.8098755       53.0476074    
  0.253036410       3.63298535       19.6716995       2.93899989       46.5454865       51.5612640    
  0.255589932       3.66964769       19.7716999       2.93899989       45.3129082       50.1153221    
  0.258155853       3.70648837       19.8717003       2.93899989       44.1114998       48.7088737    
  0.260734200       3.74350715       19.9717007       2.93899989       42.9400940       47.3404770    
  0.263324916       3.78070331       20.0716991       2.93899989       41.7984695       46.0095711    
  0.149489462       2.14490128       15.0717001       2.94400001       155.589401       189.217407    
  0.151468098       2.17329121       15.1716995       2.94400001       151.554565       183.832108    
  0.153459549       2.20186472       15.2716999       2.94400001       147.630981       178.621674    
  0.155463740       2.23062134       15.3717003       2.94400001       143.814072       173.562057    
  0.157480642       2.25956035       15.4716997       2.94400001       140.100861       168.645950    
  0.159510404       2.28868365       15.5717001       2.94400001       136.487762       163.887360    
  0.161552876       2.31798935       15.6716995       2.94400001       132.970963       159.274933    
  0.163608089       2.34747791       15.7716999       2.94400001       129.547562       154.793594    
  0.165676057       2.37714958       15.8717003       2.94400001       126.214775       150.448181    
  0.167756721       2.40700316       15.9716997       2.94400001       122.969208       146.229950    
