 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5900   2.9760  15.0717   0.1517   2.1682  0.14586E+03  0.14584E+03  0.13706E-01  0.17889E+03  0.41291E+00  0.49166E+01  0.17356E+03  0.10005E+01
   10.5900   2.9760  15.1717   0.1538   2.1969  0.14212E+03  0.14211E+03  0.13169E-01  0.17383E+03  0.37897E+00  0.47035E+01  0.16874E+03  0.10005E+01
   10.5900   2.9760  15.2717   0.1558   2.2258  0.13848E+03  0.13847E+03  0.12649E-01  0.16891E+03  0.34765E+00  0.44998E+01  0.16407E+03  0.10006E+01
   10.5900   2.9760  15.3717   0.1578   2.2549  0.13495E+03  0.13493E+03  0.12145E-01  0.16415E+03  0.31876E+00  0.43053E+01  0.15953E+03  0.10006E+01
   10.5900   2.9760  15.4717   0.1599   2.2841  0.13150E+03  0.13149E+03  0.11657E-01  0.15953E+03  0.29212E+00  0.41193E+01  0.15512E+03  0.10006E+01
   10.5900   2.9760  15.5717   0.1619   2.3136  0.12815E+03  0.12814E+03  0.11185E-01  0.15505E+03  0.26757E+00  0.39416E+01  0.15084E+03  0.10006E+01
   10.5900   2.9760  15.6717   0.1640   2.3432  0.12489E+03  0.12488E+03  0.10728E-01  0.15072E+03  0.24495E+00  0.37718E+01  0.14671E+03  0.10006E+01
   10.5900   2.9760  15.7717   0.1661   2.3730  0.12171E+03  0.12170E+03  0.10287E-01  0.14649E+03  0.22412E+00  0.36094E+01  0.14266E+03  0.10006E+01
   10.5900   2.9760  15.8717   0.1682   2.4030  0.11861E+03  0.11860E+03  0.98598E-02  0.14240E+03  0.20495E+00  0.34543E+01  0.13874E+03  0.10006E+01
   10.5900   2.9760  15.9717   0.1703   2.4332  0.11560E+03  0.11559E+03  0.94471E-02  0.13843E+03  0.18731E+00  0.33059E+01  0.13493E+03  0.10007E+01
   10.5900   2.9760  16.0717   0.1724   2.4635  0.11266E+03  0.11265E+03  0.90482E-02  0.13457E+03  0.17108E+00  0.31641E+01  0.13123E+03  0.10007E+01
   10.5900   2.9760  16.1717   0.1746   2.4941  0.10979E+03  0.10979E+03  0.86630E-02  0.13082E+03  0.15617E+00  0.30284E+01  0.12764E+03  0.10007E+01
   10.5900   2.9760  16.2717   0.1767   2.5248  0.10700E+03  0.10700E+03  0.82909E-02  0.12719E+03  0.14246E+00  0.28988E+01  0.12415E+03  0.10007E+01
   10.5900   2.9760  16.3717   0.1789   2.5557  0.10428E+03  0.10428E+03  0.79316E-02  0.12366E+03  0.12988E+00  0.27748E+01  0.12075E+03  0.10007E+01
   10.5900   2.9760  16.4717   0.1810   2.5868  0.10163E+03  0.10163E+03  0.75848E-02  0.12022E+03  0.11833E+00  0.26562E+01  0.11745E+03  0.10007E+01
   10.5900   2.9760  16.5717   0.1832   2.6181  0.99048E+02  0.99041E+02  0.72502E-02  0.11689E+03  0.10774E+00  0.25428E+01  0.11424E+03  0.10008E+01
   10.5900   2.9760  16.6717   0.1854   2.6496  0.96528E+02  0.96522E+02  0.69274E-02  0.11365E+03  0.98026E-01  0.24343E+01  0.11112E+03  0.10008E+01
   10.5900   2.9760  16.7717   0.1877   2.6812  0.94072E+02  0.94065E+02  0.66160E-02  0.11051E+03  0.89128E-01  0.23305E+01  0.10809E+03  0.10008E+01
   10.5900   2.9760  16.8717   0.1899   2.7131  0.91676E+02  0.91669E+02  0.63159E-02  0.10745E+03  0.80979E-01  0.22312E+01  0.10514E+03  0.10008E+01
   10.5900   2.9760  16.9717   0.1921   2.7451  0.89340E+02  0.89334E+02  0.60266E-02  0.10448E+03  0.73521E-01  0.21361E+01  0.10227E+03  0.10008E+01
   10.5900   2.9760  17.0717   0.1944   2.7773  0.87061E+02  0.87056E+02  0.57478E-02  0.10159E+03  0.66700E-01  0.20452E+01  0.99474E+02  0.10009E+01
   10.5900   2.9760  17.1717   0.1966   2.8097  0.84839E+02  0.84834E+02  0.54793E-02  0.98777E+02  0.60466E-01  0.19582E+01  0.96758E+02  0.10009E+01
   10.5900   2.9760  17.2717   0.1989   2.8423  0.82672E+02  0.82667E+02  0.52207E-02  0.96046E+02  0.54770E-01  0.18750E+01  0.94117E+02  0.10009E+01
   10.5900   2.9760  17.3717   0.2012   2.8750  0.80558E+02  0.80553E+02  0.49718E-02  0.93391E+02  0.49572E-01  0.17953E+01  0.91547E+02  0.10009E+01
   10.5900   2.9760  17.4717   0.2035   2.9079  0.78497E+02  0.78492E+02  0.47322E-02  0.90809E+02  0.44832E-01  0.17191E+01  0.89045E+02  0.10009E+01
   10.5900   2.9760  17.5717   0.2058   2.9411  0.76486E+02  0.76481E+02  0.45018E-02  0.88299E+02  0.40510E-01  0.16461E+01  0.86612E+02  0.10010E+01
   10.5900   2.9760  17.6717   0.2082   2.9744  0.74524E+02  0.74520E+02  0.42801E-02  0.85857E+02  0.36574E-01  0.15762E+01  0.84245E+02  0.10010E+01
   10.5900   2.9760  17.7717   0.2105   3.0079  0.72611E+02  0.72606E+02  0.40670E-02  0.83483E+02  0.32991E-01  0.15094E+01  0.81941E+02  0.10010E+01
   10.5900   2.9760  17.8717   0.2129   3.0415  0.70744E+02  0.70740E+02  0.38621E-02  0.81174E+02  0.29733E-01  0.14454E+01  0.79699E+02  0.10010E+01
   10.5900   2.9760  17.9717   0.2152   3.0754  0.68923E+02  0.68920E+02  0.36654E-02  0.78928E+02  0.26774E-01  0.13841E+01  0.77517E+02  0.10010E+01
   10.5900   2.9760  18.0717   0.2176   3.1094  0.67147E+02  0.67144E+02  0.34763E-02  0.76743E+02  0.24084E-01  0.13255E+01  0.75394E+02  0.10011E+01
   10.5900   2.9760  18.1717   0.2200   3.1436  0.65415E+02  0.65412E+02  0.32948E-02  0.74618E+02  0.21645E-01  0.12690E+01  0.73327E+02  0.10011E+01
   10.5900   2.9760  18.2717   0.2224   3.1780  0.63725E+02  0.63722E+02  0.31206E-02  0.72551E+02  0.19435E-01  0.12153E+01  0.71316E+02  0.10011E+01
   10.5900   2.9760  18.3717   0.2248   3.2126  0.62077E+02  0.62074E+02  0.29534E-02  0.70539E+02  0.17433E-01  0.11638E+01  0.69358E+02  0.10011E+01
   10.5900   2.9760  18.4717   0.2273   3.2474  0.60469E+02  0.60466E+02  0.27931E-02  0.68583E+02  0.15622E-01  0.11146E+01  0.67453E+02  0.10011E+01
   10.5900   2.9760  18.5717   0.2297   3.2823  0.58900E+02  0.58898E+02  0.26394E-02  0.66680E+02  0.13985E-01  0.10674E+01  0.65599E+02  0.10012E+01
   10.5900   2.9760  18.6717   0.2322   3.3175  0.57370E+02  0.57368E+02  0.24921E-02  0.64829E+02  0.12507E-01  0.10223E+01  0.63794E+02  0.10012E+01
   10.5900   2.9760  18.7717   0.2347   3.3528  0.55878E+02  0.55876E+02  0.23509E-02  0.63028E+02  0.11173E-01  0.97901E+00  0.62038E+02  0.10012E+01
   10.5900   2.9760  18.8717   0.2371   3.3883  0.54423E+02  0.54421E+02  0.22158E-02  0.61276E+02  0.99709E-02  0.93750E+00  0.60329E+02  0.10012E+01
   10.5900   2.9760  18.9717   0.2396   3.4239  0.53003E+02  0.53001E+02  0.20864E-02  0.59572E+02  0.88888E-02  0.89865E+00  0.58665E+02  0.10013E+01
   10.5900   2.9760  19.0717   0.2421   3.4598  0.51619E+02  0.51617E+02  0.19627E-02  0.57912E+02  0.79156E-02  0.85944E+00  0.57045E+02  0.10013E+01
